job_id,job_title,employer_name,employer_logo,employer_website,job_publisher,job_employment_type,job_employment_types,job_apply_link,job_apply_is_direct
lFh29o-Fkgwt07YoAAAAAA==,"Manager, Software Development 2",eBay,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4jJ8mXgZgwBwf88jYM5si3QgvclxNqkf56J4G&s=0,http://www.ebay.com/,EBay Jobs - EBay Inc.,Full-time,['FULLTIME'],https://jobs.ebayinc.com/us/en/job/R0068658/Manager-Software-Development-2?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
XIVoA2yRfxLm14ovAAAAAA==,Staff Software Engineer – Java Cloud (Bangalore),Mogi I/O : OTT/Podcast/Short Video Apps for you,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8IoOWiWK7HkmpZtps-4TIwBgqFvm1MzqsTSzd&s=0,,LinkedIn,Full-time,['FULLTIME'],https://in.linkedin.com/jobs/view/staff-software-engineer-%E2%80%93-java-cloud-bangalore-at-mogi-i-o-ott-podcast-short-video-apps-for-you-4279436147?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
Chv1BmUv0rC3h3oMAAAAAA==,Staff Software Engineer - Data Platform,WARNERMEDIA,,,WBD Careers - Warner Bros. Discovery,Full-time,['FULLTIME'],https://careers.wbd.com/pl/pl/job/R000080072/Staff-Software-Engineer-Data-Platform?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
aHo2f6AV2AgENhOgAAAAAA==,Software Engineer Manager,Cognizant,,https://www.cognizant.com,Cognizant Careers,Full-time,['FULLTIME'],https://careers.cognizant.com/global-en/jobs/00058378901/software-engineer-manager/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
WqkobkZ-Ou3mjaR0AAAAAA==,"Software Engineer, Machine Learning (India)",Glean,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAzCw02diP12bce8LFO-aGU-93iR2QrFfMG0OF&s=0,https://www.glean.com,VentureLoop,Full-time,['FULLTIME'],https://www.ventureloop.com/ventureloop/jobdetail.php?jobid=2676324&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
vht-B0f3GPQNR1A-AAAAAA==,Software Engineer,thyssenkrupp India Pvt Ltd,,https://jobs.thyssenkrupp.com,Thyssenkrupp Jobs,Full-time,['FULLTIME'],https://jobs.thyssenkrupp.com/en/job/Software-Engineer-Pune?id=903325&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
tpHAV6_y8Xsz-BRNAAAAAA==,Staff Engineer - EDA Software Development,Synopsys,,https://www.synopsys.com,Synopsys Careers,Full-time,['FULLTIME'],https://careers.synopsys.com/job/noida/staff-engineer-eda-software-development/44408/78844706848?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
la3kmbv6yEUYHWbKAAAAAA==,"Engineer III, Software Development | Gurgaon, IN",S&P Global,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUXUbgAhHAJi4nAFTnEkIF0tp_vJjtd_BMmaC4&s=0,https://www.spglobal.com,EFinancialCareers,Full-time,['FULLTIME'],https://www.efinancialcareers.com/jobs-India-Gurgaon-Engineer_III_Software_Development.id22866527?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,True
Xw4ZEZNd8mBd9G5zAAAAAA==,Senior Software Engineer (Java),Naviga,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNZLT4QDHAZ4B3NfkwylU4vSnmjkFO7dCIzeia&s=0,https://www.navigaglobal.com,Recruit.hirebridge.com,Full-time,['FULLTIME'],https://recruit.hirebridge.com/v3/CareerCenter/v2/details.aspx?cid=6970&jid=600699&locvalue=1119&bid=3&request_id=904550&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
FgmfBiYBLTRAoT8MAAAAAA==,Technical Program Management/ Software Engineering/ Program Management,Mastercard,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnWxNA5w472wqgBWJbT6wqQd_uHMmklYpnLovn&s=0,https://www.mastercard.com,Mastercard Careers,Full-time,['FULLTIME'],https://careers.mastercard.com/us/en/job/R-249209/Technical-Program-Management-Software-Engineering-Program-Management?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
